貨品分類1,貨品分類2,貨品分類3,貨品編號,品牌,貨品名稱,超市代號,價格,優惠
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000003700,Meadows,三文治方包 8片,WELLCOME,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000003700,Meadows,三文治方包 8片,JASONS,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000003843,Meadows,三文治方麥包 8片,WELLCOME,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,方包,P000003843,Meadows,三文治方麥包 8片,JASONS,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000000810,嘉頓,忌廉檳 - 花生味 1個,WELLCOME,8.50,$13.5任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000000810,嘉頓,忌廉檳 - 花生味 1個,PARKNSHOP,9.90,買2件慳$6.30
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000000810,嘉頓,忌廉檳 - 花生味 1個,JASONS,8.50,$13.5任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000001537,嘉頓,忌廉檳 - 雲呢嗱味 1個,PARKNSHOP,9.90,買2件慳$6.30
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000001539,嘉頓,漢堡包 4個,WELLCOME,14.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000001539,嘉頓,漢堡包 4個,JASONS,14.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000003482,嘉頓,熱狗包 4個,PARKNSHOP,16.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000000989,嘉頓,排包 210克,WELLCOME,17.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000000989,嘉頓,排包 210克,JASONS,17.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,餐包 / 餡料麵包,P000000035,嘉頓,提子餐包 4個,PARKNSHOP,13.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,酥皮包,P000001533,嘉頓,法國牛角酥 4個,PARKNSHOP,23.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,其他麵包,P000001538,嘉頓,英式鬆餅 4個,WELLCOME,18.80,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,其他麵包,P000001538,嘉頓,英式鬆餅 4個,PARKNSHOP,18.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包,其他麵包,P000001538,嘉頓,英式鬆餅 4個,JASONS,18.80,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即沖麥片,P000000860,桂格,即沖燕麥片 - 粟米味 175克 (35克 x 5),PARKNSHOP,17.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即沖麥片,P000001231,桂格,即沖燕麥片 - 原味 210克 (42克 x 5),WELLCOME,17.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即沖麥片,P000001231,桂格,即沖燕麥片 - 原味 210克 (42克 x 5),PARKNSHOP,17.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即沖麥片,P000001231,桂格,即沖燕麥片 - 原味 210克 (42克 x 5),JASONS,17.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000004190,Meadows,即食燕麥片 200克,WELLCOME,6.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000004190,Meadows,即食燕麥片 200克,JASONS,6.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000003850,Meadows,即食燕麥片 800克,WELLCOME,21.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000003850,Meadows,即食燕麥片 800克,JASONS,21.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000000808,桂格,即食燕麥片 - 袋裝 800克,WELLCOME,23.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000000808,桂格,即食燕麥片 - 袋裝 800克,PARKNSHOP,28.90,買2件慳$13.80
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000000808,桂格,即食燕麥片 - 袋裝 800克,JASONS,23.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000000076,桂格,即食燕麥片 - 罐裝 800克,WELLCOME,31.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,即食麥片,P000000076,桂格,即食燕麥片 - 罐裝 800克,PARKNSHOP,31.90,
